user_id,text,FF_Score
3074457346778716098,can't search for templates and edit them easily. may be they should be available with boards,
3074457348316055325,where can i find the templates?,
3074457347365877915,"template
",
3074457347361058690,"i'm searching for my template
",
3074457347703004632,"it is difficult to find new templates to add to my project. i specifically would like to create a flowchart, but the template does not appear for me to select, nor can i find a place to see all available templates.",
3074457347639000286,templates,
3074457347320579628,no persona template?,
3074457347600464998,"i've just found a kanban board that my boss couldn't find this morning, it's in the wrong project. however when i did a search for anything created by her it was not found. - https://miro.com/app/board/o9j_kuxzfdq=/",
3074457348075546603,"why can't i find the brainwriting board template?
",
3074457347129099122,i need the empathy template and i don´t find it ,
3074457346027019505,"on chrome : couldn't create thé grid, on thé app, couldn't sélect a single cell to add text in it",1
3074457346938223355,can't figure out how to change border settings. don't understand how objects dropped into a grid relate to a grid. can't figure out how to select and reposition objects dropped into a grid,1
3074457348241213513,the text keeps disappearing from the table cell after i type it and click away?,1
3074457347458933147,been working on a sticky for over an hour,1
3074457348351179294,where do you type on the sticky.,1
3074457347971568087,"how do i go back to the list of templates once ive chosen a note
how do i delete a note",1
3074457347435183407,"i struggled to get the grid to show on the board, and i cannot select a single cell to add text or change color",1
3074457345737121942,i don't want to use a template,1
3074457347040129556,why can't i scale it? it's the only template i can't make larger.,1
3074457346316939699,"too hard to edit, maybe if it was as easy to edit as a kanban board?",1
3074457347731185983,"i'm trying to organise my results of research in mind maps (because i know some colleagues are doing it with mindmaps softwares) and i find it really difficul.  1st of all i need to drag a full hug branch from right to left and adapt easily. then, i need to add tags to branches so then i can copy paste them in other places of the map and know they belong to that 1st branch i've created. finally, i'm really frustrated when i navigate though concepts and it skips a new branch that it still doesn't have content because its exactly that i want to do. i want to navigate through branches to go specifically the one that is empty and start writing on it",1
3074457347935693318,double-click into a cell edits the text of the table rather than creating a new sticky-note.,1
3074457346952410200,could not find myself tagged in kanban,1
3074457346416420024,if i`m copying the bold text and then press ctrl + v to past the text in the same cell in the table this text past without the bold!!!!!!! you must to fix it like in the google sheets!,1
3074457346956261195,at the moment i cant just take a photo and click add. it makes me go into the photo and select the part which defeats the time saved by digitizing the text. by default it should post the whole photo and convert all of it to text and not force user to select an area. this would help in quickly getting many stickies into the phone.,1
3074457348364034734,you cannot see votes on cards. editing is uncomfortable and missleading. moving cards all arround :-(,1
3074457345947738376,"can't search for a ticket id after importing vsts cards. can search for the ticket title, but can't copy the title from the card and paste it in to search, have to type the whole thing to find the exact item.",1
3074457345835130452,not enough templates,1
3074457346032867386,should work like the kanban framework,1
3074457347800089213,"not flexible enough e.g. moving cards from one ""arm"" to another.",1
3074457346251194599,changing table size moves comment to wrong location,1
3074457345878231530,"before adding a template, i should be able to select how many columns and rows i want, update the text, and include different color schemes instead of edit.",1
3074457346804508944,"how do you move the grid!?  when i highlight the while thing, i can't seem to move it.  very frustrating. :(",1
3074457346665314844,"please see the way metro retro does voting ! this voting experience was nowhere as seamless.. the cards were not ranked automatically on the board itself, it was hard for all participants to see results easily and there was too much ""afterwork"" to make sense of the results. 

no need to reinvent the wheel, metro retro style voting would be perfect. 

oh and a confetti tool plugin would be a nice addon ;)",1
3074457348253829692,"i can't see how to change it easily. the template colours are completely unusable. very little can remain from the template, might as well have started from scratch",1
3074457347777458689,i can't reliable edit the text within the grid cell,1
3074457347198839730,"i was building my grid, and suddenly one section blew up to large. i can't adjust it now to smaller! why? frustrates me a lot since i was really happy with how it was going so far, now i don't know how to fix this mess. also stickers from other grid cells jumped to random locations",1
3074457347453492037,i’m not able to edit cards,1
3074457348360290349,"too locked, wanted just to use some part of the retrospective template...",1
3074457346789386722,"it doesn't show me any templates, it´s all blank",1
3074457346988040181,"this is in response to your ui of giving feedback, not the templates. i kept clicking ""give feedback"" and nothing was showing up for a response box. finally i thought to scroll down and finally saw the prompt at the very bottom of my page after scrolling down. this modal should display right beside or below the button prompt to give feedback, not in a completely different visual context.... and now i'm clicking ""send"" and having to click multiple times... why isn't it sending on first click?",1
3074457346174712963,there should be an option to remove the grid title as i already put the grid inside a frame.,1
3074457347408002987,why do you set a limit of row for the grid???,1
3074457346549022491,it would be interesting if the branch can be disconnected and connected to another object inside the mindmap. the feature is present in xmind,1
3074457346518614507,"i want to save a template of my table cell, and then when i add another column or row, it duplicates the template inside cell. instead adding a row/column just adds black cells forcing me to constantly recreate my design",1
3074457346480772575,i don't see any visual indication of votes on the actual stickies?,1
3074457347978917201,i can't type in the grid,1
3074457346897750787,"not structured enough, not data (like kanban) but just drawing",1
3074457347405890262,"no tutorials, no flexibility of modifying the template as per your desire",1
3074457346187003510,doesn't look like the template preview,1
3074457346149703115,"it can't be overlaid ontop of wireframe components without resizing cells failing, or on deleting a row from the grid causing the wireframes to get deleted with it.",1
3074457345950953518,"having some issues with typing text into cells after the first two rows. third row when i type text, it fails to save. cell turns up empty.  i can, however, create a text box and place it in the third row, but can't type in the boxes.  i'll try a new grid and a new board and submit a ticket once i have time to troubleshoot it a little.",1
3074457346228054274,unable to create new table,1
3074457346713641566,"i couldn't edit the entire grid at once, i could only adjust one cell at a time and it was hard to move from cell to cell . love the idea though",1
3074457346142590148,not easily editable like the story map,1
3074457347935666649,can't move a sticky,1
3074457347654404439,hehehehe your tables no workin,1
3074457347312257811,i can't see any templates,1
3074457346687024388,the table thing doesn't work,1
3074457347761481801,can't just move things around. everything is locked into place. not sure how that is a template vs example.,1
3074457346561638134,"it would be great if the user activies or tasks would be floating on top as you scroll down, like it's done in your kanban boards. otherwise it's really hard to keep the big picture overview",1
3074457347576946466,can't type in grid easily,1
